
 num     #instances         #bytes  class name
  67:           263          31560  game.data.bean.Cfg_main_taskBean
  68:           562          31472  org.apache.ibatis.mapping.ParameterMapping
  69:           915          29280  org.apache.logging.log4j.core.Logger
  70:           505          28280  game.data.bean.Cfg_guild_collegeBean
  71:           313          27544  game.data.bean.Cfg_npcBean
  72:            13          26832  [Lorg.apache.ibatis.ognl.OgnlRuntime$ClassCache$Entry;
  73:           834          26688  com.game.skill.config.event.CommonEvent
  74:          1655          26480  sun.reflect.DelegatingConstructorAccessorImpl
  75:           660          26400  game.data.bean.Cfg_elves_runestarBean
  76:          1580          25280  sun.reflect.DelegatingMethodAccessorImpl
  77:           303          24240  com.game.skill.config.event.PlayHitEvent
  78:           480          23040  game.data.bean.Cfg_treasureBean
  79:           917          22008  org.apache.logging.log4j.message.DefaultFlowMessageFactory
  80:          1345          21520  [Ljava.security.Principal;
  81:          1345          21520  java.security.ProtectionDomain$Key
  82:           280          20160  game.data.bean.Cfg_meltingBean
  83:           500          20000  game.data.bean.Cfg_prayBean
  84:            89          19936  game.data.bean.Cfg_clone_mapBean
  85:           317          17752  java.util.LinkedHashMap
  86:           309          17304  com.game.skill.config.SkillVisual
  87:           140          16800  game.data.bean.Cfg_shop_MaketBean
  88:           407          16280  org.apache.log4j.Logger
  89:           670          16080  org.apache.log4j.CategoryKey
  90:           251          16064  java.util.concurrent.ConcurrentHashMap
  91:           142          15904  game.data.bean.Cfg_buffBean
  92:           216          15552  game.core.script.ScriptJavaLoader$ScriptClassLoader
  93:            41          15416  java.lang.Thread
  94:            91          15288  game.data.bean.Cfg_MapsettingBean
  95:           473          15136  com.game.utils.Shape
  96:           916          14656  org.apache.logging.log4j.message.ReusableMessageFactory
  97:           251          14056  org.apache.ibatis.mapping.ResultMap
  98:           435          13920  java.lang.ref.WeakReference
  99:           578          13872  sun.reflect.NativeMethodAccessorImpl
 100:           214          13696  com.game.skill.config.event.FindTargetEvent
 101:            55          12960  [Lio.netty.buffer.PoolSubpage;
 102:           534          12816  game.core.message.Dictionary
 103:            80          12160  io.netty.channel.nio.NioEventLoop
 104:           233          11184  org.apache.ibatis.reflection.Reflector
 105:           231          11088  game.data.bean.Cfg_pet_levelBean
 106:           172          11008  com.mysql.jdbc.ConnectionPropertiesImpl$StringConnectionProperty
 107:           341          10912  sun.misc.FDBigInteger
 108:           100          10400  game.data.bean.Cfg_specialclone_rewardBean
 109:           433          10392  game.data.bean.Cfg_globalBean
 110:           185          10360  java.lang.invoke.MemberName
 111:           110           9752  [[C
 112:           100           9600  game.data.bean.Cfg_charactersBean
 113:           200           9600  game.data.bean.Cfg_marriage_attributeBean
 114:           395           9480  org.slf4j.impl.Log4jLoggerAdapter
 115:           230           9200  game.data.bean.Cfg_bag_gridBean
 116:           216           8640  game.core.script.ScriptBean
 117:           351           8424  org.apache.ibatis.mapping.ParameterMap
 118:           263           8416  org.apache.log4j.ProvisionNode
 119:           350           8400  org.apache.ibatis.builder.StaticSqlSource
 120:           250           8000  game.data.bean.Cfg_FightingSoulLevelBean
 121:           125           8000  game.data.bean.Cfg_GatherBean
 122:           163           7968  [J
 123:           497           7952  java.util.HashMap$KeySet
 124:           192           7680  java.util.WeakHashMap$Entry
 125:           190           7600  game.data.bean.Cfg_guild_fight_continuous_rewardBean
 126:           190           7600  game.data.bean.Cfg_guild_fight_cumulative_rewardBean
 127:           116           7424  com.mysql.jdbc.ConnectionPropertiesImpl$IntegerConnectionProperty
 128:            90           7200  com.game.map.structs.ByteMapCfg
 129:            84           7168  [Ljava.util.WeakHashMap$Entry;
 130:           217           6944  sun.reflect.UnsafeObjectFieldAccessorImpl
 131:            84           6720  game.data.bean.Cfg_marriage_patronBean
 132:           162           6480  io.netty.buffer.PoolChunkList
 133:           202           6464  game.data.bean.Cfg_FunctionStartBean
 134:           198           6336  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
 135:             7           6320  [Lio.netty.util.Recycler$DefaultHandle;
 136:           196           6272  java.lang.invoke.LambdaForm$Name
 137:           195           6240  javax.management.MBeanAttributeInfo
 138:           258           6192  java.lang.Long
 139:            69           6072  game.data.bean.Cfg_giftBean
 140:           247           5928  javax.management.ObjectName$Property
 141:           368           5888  java.util.Collections$UnmodifiableSet
 142:           146           5840  java.lang.ref.Finalizer
 143:            80           5760  sun.nio.ch.EPollArrayWrapper
 144:            80           5760  sun.nio.ch.EPollSelectorImpl
 145:            89           5696  java.net.URL
 146:           354           5664  org.apache.ibatis.logging.slf4j.Slf4jImpl
 147:           354           5664  org.apache.ibatis.logging.slf4j.Slf4jLocationAwareLoggerImpl
 148:            94           5640  [Ljava.lang.ref.SoftReference;
 149:           350           5600  org.apache.ibatis.executor.keygen.NoKeyGenerator
 150:           350           5600  org.apache.ibatis.scripting.defaults.RawSqlSource
 151:           173           5536  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 152:           138           5520  game.data.bean.Cfg_rechargeItemBean
 153:           230           5520  java.util.LinkedList$Node
 154:           169           5408  game.data.bean.Cfg_monsterAiBean
 155:           181           5280  [Ljavax.management.ObjectName$Property;
 156:           128           5120  java.lang.invoke.MethodType
 157:           213           5112  javax.management.ImmutableDescriptor
 158:           211           5064  game.data.bean.Cfg_serverStrBean
 159:            70           5040  game.data.bean.Cfg_templeActivityBean
 160:            47           4944  [Z
 161:           123           4920  game.data.bean.Cfg_achievementBean
 162:           203           4872  sun.reflect.generics.tree.SimpleClassTypeSignature
 163:             4           4864  com.mysql.jdbc.JDBC4Connection
 164:            66           4752  game.data.bean.Cfg_elves_runeBean
 165:           198           4752  org.apache.logging.log4j.core.config.plugins.util.PluginType
 166:            72           4608  game.data.bean.Cfg_retrieveResBean
 167:           110           4400  game.data.bean.Cfg_elves_starBean
 168:           110           4400  game.data.bean.Cfg_horse_starBean
 169:           110           4400  game.data.bean.Cfg_wing_starBean
 170:           137           4384  io.netty.util.internal.LongAdderCounter
 171:           137           4384  java.util.LinkedList
 172:           108           4320  java.math.BigInteger
 173:             8           4224  [Ljava.util.TimerTask;
 174:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 175:            74           4144  java.beans.MethodDescriptor
 176:             2           4128  [Ljava.nio.ByteBuffer;
 177:            86           4128  game.data.bean.Cfg_FightingSoulBean
 178:             1           4112  [Lcom.alibaba.fastjson.util.IdentityHashMap$Entry;
 179:             1           4112  [Lcom.sun.org.apache.xpath.internal.objects.XObject;
 180:           257           4112  java.lang.Byte
 181:           257           4112  java.lang.Short
 182:            72           4104  [Ljavax.management.MBeanAttributeInfo;
 183:           171           4104  java.util.concurrent.atomic.AtomicLong
 184:           171           4104  org.apache.logging.log4j.core.pattern.PatternFormatter
 185:           101           4040  game.data.bean.Cfg_challenge_rewardBean
 186:           100           4000  game.data.bean.Cfg_MilitaryRankBean
 187:            99           3960  java.io.ObjectStreamField
 188:           162           3888  java.lang.Class$AnnotationData
 189:           203           3864  [Lsun.reflect.generics.tree.TypeArgument;
 190:            30           3840  game.data.bean.Cfg_ScuffleLevelBean
 191:            79           3792  java.util.WeakHashMap
 192:           117           3744  java.util.concurrent.locks.ReentrantLock$NonfairSync
 193:            91           3640  javax.management.ObjectName
 194:           111           3552  game.data.bean.Cfg_FashionStarStarBean
 195:            26           3536  game.data.bean.Cfg_task_battlefieldBean
 196:            28           3520  [S
 197:            72           3456  javax.management.MBeanInfo
 198:            85           3400  com.game.map.structs.ByteMapTrigger
 199:           140           3360  sun.reflect.annotation.AnnotationInvocationHandler
 200:           136           3264  java.beans.MethodRef
 201:           202           3232  sun.reflect.generics.tree.ClassTypeSignature
 202:            40           3200  game.data.bean.Cfg_MasterSpiritArrayBean
 203:           100           3200  java.lang.ref.ReferenceQueue
 204:             8           3072  java.util.TimerThread
 205:            68           3056  [Ljava.lang.invoke.LambdaForm$Name;
 206:            63           3024  java.lang.invoke.LambdaForm
 207:           188           3008  java.util.concurrent.atomic.AtomicBoolean
 208:            92           2944  java.util.concurrent.Semaphore$NonfairSync
 209:            28           2912  [Ljava.lang.invoke.MethodHandle;
 210:            36           2880  game.data.bean.Cfg_task_genderBean
 211:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 212:            90           2880  org.apache.logging.log4j.core.pattern.LiteralPatternConverter
 213:            51           2856  sun.nio.cs.UTF_8$Encoder
 214:            86           2752  java.lang.ThreadLocal$ThreadLocalMap$Entry
 215:            49           2744  java.lang.invoke.MethodTypeForm
 216:            85           2720  io.netty.util.concurrent.DefaultPromise
 217:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 218:            80           2560  sun.nio.ch.AllocatedNativeObject
 219:           155           2480  java.util.concurrent.atomic.AtomicInteger
 220:            28           2464  game.data.bean.Cfg_active_behaviorBean
 221:           104           2456  [Ljava.lang.reflect.Type;
 222:            51           2448  game.data.bean.Cfg_offLinePlugInBean
 223:            60           2400  com.mysql.jdbc.MysqlCharset
 224:           100           2400  game.data.bean.Cfg_MilitaryRankcamp1Bean
 225:           100           2400  game.data.bean.Cfg_MilitaryRankcamp2Bean
 226:           100           2400  game.data.bean.Cfg_specialclone_reward_coefficientBean
 227:            74           2368  com.alibaba.fastjson.util.IdentityHashMap$Entry
 228:            73           2336  sun.reflect.generics.repository.ClassRepository
 229:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 230:            96           2304  java.lang.invoke.LambdaForm$NamedFunction
 231:            31           2232  java.beans.PropertyDescriptor
 232:            23           2208  java.util.jar.JarFile$JarFileEntry
 233:            39           2184  sun.util.calendar.ZoneInfo
 234:            90           2160  com.sun.jmx.mbeanserver.NamedObject
 235:            15           2160  io.netty.buffer.PoolArena$HeapArena
 236:            89           2136  com.game.copymap.structs.CloneTypeId
 237:            65           2080  java.lang.invoke.DirectMethodHandle
 238:           129           2064  java.lang.Character
 239:           123           1968  java.lang.ThreadLocal
 240:            82           1968  java.util.BitSet
 241:            24           1920  game.data.bean.Cfg_changejobBean
 242:            80           1920  io.netty.channel.nio.SelectedSelectionKeySet
 243:            80           1920  io.netty.channel.nio.SelectedSelectionKeySetSelector
 244:            40           1920  sun.util.locale.LocaleObjectCache$CacheEntry
 245:            17           1904  java.util.GregorianCalendar
 246:           119           1904  java.util.concurrent.locks.ReentrantLock
 247:            79           1896  sun.reflect.generics.factory.CoreReflectionFactory
 248:            77           1848  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 249:            38           1824  game.data.bean.Cfg_tombstoneBean
 250:            25           1800  game.data.bean.Cfg_union_jjrankBean
 251:           112           1792  org.apache.ibatis.reflection.invoker.SetFieldInvoker
 252:            37           1776  sun.misc.URLClassPath$JarLoader
 253:            73           1752  game.data.bean.Cfg_attributeAddBean
 254:            73           1752  sun.reflect.generics.scope.ClassScope
 255:            73           1752  sun.reflect.generics.tree.ClassSignature
 256:            12           1728  io.netty.buffer.PoolArena$DirectArena
 257:            18           1728  sun.util.calendar.Gregorian$Date
 258:            43           1720  game.data.bean.Cfg_server_world_questionBean
 259:            43           1720  java.security.AccessControlContext
 260:            30           1680  java.security.Provider$Service
 261:           105           1680  sun.reflect.BootstrapConstructorAccessorImpl
 262:            70           1680  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 263:            23           1664  [Ljava.lang.Integer;
 264:            26           1664  java.util.jar.JarFile
 265:            69           1656  java.security.Provider$ServiceKey
 266:            23           1656  org.apache.logging.log4j.core.async.AsyncLoggerConfig
 267:            68           1632  com.sun.jmx.mbeanserver.StandardMBeanSupport
 268:           102           1632  java.lang.ref.ReferenceQueue$Lock
 269:            40           1600  game.data.bean.Cfg_guild_upBean
 270:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 271:            18           1584  game.data.bean.Cfg_task_guideBean
 272:            99           1584  org.apache.ibatis.reflection.invoker.GetFieldInvoker
 273:            28           1568  game.data.bean.Cfg_sevendaypartyBean
 274:            16           1536  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 275:             4           1536  io.netty.util.concurrent.FastThreadLocalThread
 276:            32           1536  java.util.logging.LogManager$LoggerWeakRef
 277:            27           1512  game.data.bean.Cfg_pet_probabilityBean
 278:            31           1488  java.util.zip.Inflater
 279:            37           1480  game.data.bean.Cfg_PictureTitleBean
 280:            92           1472  java.util.concurrent.Semaphore
 281:            57           1464  [Ljavax.management.MBeanOperationInfo;
 282:            73           1440  [Lsun.reflect.generics.tree.ClassTypeSignature;
 283:            20           1440  game.data.bean.Cfg_ancientBossBean
 284:            10           1440  java.text.DecimalFormat
 285:            36           1440  javax.management.MBeanOperationInfo
 286:            59           1416  game.data.bean.Cfg_shielding_symbolBean
 287:            22           1408  game.data.bean.Cfg_task_branchBean
 288:            29           1392  com.game.skill.config.event.PlaySelfMoveEvent
 289:             1           1376  [Lsun.misc.FDBigInteger;
 290:            80           1376  [Lsun.reflect.generics.tree.FormalTypeParameter;
 291:            57           1368  java.util.Arrays$ArrayList
 292:            57           1368  org.apache.ibatis.ognl.OgnlRuntime$ClassCache$Entry
 293:            85           1360  java.util.LinkedHashSet
 294:            12           1344  org.apache.logging.log4j.core.appender.rolling.RollingRandomAccessFileManager
 295:            82           1312  java.util.Collections$SingletonSet
 296:            39           1280  [Ljava.math.BigInteger;
 297:            20           1280  game.data.bean.Cfg_PlayerTitleBean
 298:            80           1280  io.netty.channel.nio.NioEventLoop$1
 299:            80           1280  io.netty.channel.nio.NioEventLoop$2
 300:            39           1248  io.netty.util.Recycler$DefaultHandle
 301:            26           1248  java.util.Properties
 302:            39           1248  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 303:            31           1240  game.data.bean.Cfg_CampBattleRankBean
 304:            30           1200  game.data.bean.Cfg_PrayCostBean
 305:            25           1200  java.util.concurrent.ThreadPoolExecutor$Worker
 306:            21           1176  game.data.bean.Cfg_petBean
 307:             2           1152  com.alibaba.druid.pool.DruidDataSource
 308:            48           1152  java.util.jar.Attributes$Name
 309:            35           1120  game.data.bean.Cfg_SpecialConditionBean
 310:            35           1120  javax.management.MBeanParameterInfo
 311:            23           1104  java.util.TreeMap
 312:            34           1088  io.netty.util.AttributeKey
 313:            34           1088  java.util.zip.ZipCoder
 314:            45           1080  game.core.map.Position
 315:            45           1080  java.io.ExpiringCache$Entry
 316:            27           1080  java.math.BigDecimal
 317:            22           1056  java.nio.HeapByteBuffer
 318:             8           1048  [Ljava.beans.MethodDescriptor;
 319:             1           1040  [Lcom.mysql.jdbc.MysqlCharset;
 320:             1           1040  [Ljava.lang.Byte;
 321:             1           1040  [Ljava.lang.Long;
 322:             1           1040  [Ljava.lang.Short;
 323:             4           1024  com.mysql.jdbc.MysqlIO
 324:            32           1024  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 325:            32           1024  java.util.logging.LogManager$LogNode
 326:             9           1008  com.game.map.structs.ByteDynamicBlock
 327:            21           1008  game.data.bean.Cfg_tianqibaokuBean
 328:            14           1008  java.util.logging.Logger
 329:            25           1000  game.data.bean.Cfg_activeMedalBean
 330:            25           1000  game.data.bean.Cfg_guild_questionBean
 331:            25           1000  org.apache.logging.log4j.core.pattern.DatePatternConverter
 332:            31            992  java.io.FileDescriptor
 333:            41            984  java.util.ArrayDeque
 334:            60            960  com.sun.proxy.$Proxy1
 335:            12            960  game.data.bean.Cfg_activeRuneBean
 336:            10            960  game.data.bean.Cfg_horse_mythicalBean
 337:            30            960  java.security.Provider$EngineDescription
 338:            13            944  [Lorg.apache.logging.log4j.core.pattern.PatternFormatter;
 339:            39            936  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig
 340:            39            936  java.sql.JDBCType
 341:            13            936  org.apache.logging.log4j.core.layout.PatternLayout
 342:            29            928  org.apache.logging.log4j.core.pattern.DatePatternConverter$PatternFormatter
 343:            29            928  sun.reflect.UnsafeIntegerFieldAccessorImpl
 344:            23            920  com.sun.jmx.mbeanserver.PerInterface
 345:            23            920  org.apache.logging.log4j.core.config.AppenderControl
 346:            19            912  sun.management.DiagnosticCommandInfo
 347:            28            896  io.netty.channel.ChannelOption
 348:             8            896  java.net.SocksSocketImpl
 349:            37            888  io.netty.util.internal.logging.Slf4JLogger
 350:            22            880  game.data.bean.Cfg_cinematicBean
 351:             7            864  [D
 352:            12            864  com.mysql.jdbc.ConnectionPropertiesImpl$MemorySizeConnectionProperty
 353:            12            864  game.data.bean.Cfg_AchievementRuneBean
 354:            18            864  java.util.concurrent.LinkedBlockingQueue
 355:            54            864  java.util.concurrent.atomic.AtomicReference
 356:            18            864  org.apache.ibatis.session.Configuration$StrictMap
 357:            15            840  game.data.bean.Cfg_Equip_starBean
 358:            15            840  game.data.bean.Cfg_medalBean
 359:            15            840  javax.management.openmbean.ArrayType
 360:            24            832  [Ljava.io.ObjectStreamField;
 361:             2            832  com.game.roleLog.UpdateThread
 362:            34            816  game.data.bean.Cfg_drop_limitBean
 363:             6            816  io.netty.util.internal.InternalThreadLocalMap
 364:            20            800  com.game.skill.config.event.PlaySummonObject
 365:            20            800  com.sun.jmx.mbeanserver.MXBeanSupport
 366:            20            800  game.data.bean.Cfg_extra_rewardsBean
 367:            10            800  game.data.bean.Cfg_master_holyBean
 368:            25            800  org.apache.logging.log4j.core.pattern.DatePatternConverter$CachedTime
 369:            20            800  sun.util.locale.BaseLocale$Key
 370:            29            792  [Ljava.security.ProtectionDomain;
 371:            11            792  game.data.bean.Cfg_horse_upBean
 372:            33            792  java.util.concurrent.CopyOnWriteArrayList
 373:             1            784  game.data.GameDataManager
 374:             2            768  com.alibaba.druid.pool.DruidDataSource$CreateConnectionThread
 375:             2            768  com.alibaba.druid.pool.DruidDataSource$DestroyConnectionThread
 376:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 377:            24            768  java.io.File
 378:            12            768  org.apache.logging.log4j.core.appender.RollingRandomAccessFileAppender
 379:            31            744  java.util.zip.ZStreamRef
 380:            31            744  org.apache.ibatis.type.JdbcType
 381:            23            736  java.lang.reflect.Proxy$Key1
 382:            23            736  java.lang.reflect.WeakCache$CacheValue
 383:            23            736  org.apache.logging.log4j.core.config.AwaitCompletionReliabilityStrategy
 384:            13            728  game.data.bean.Cfg_syntheticBean
 385:            30            720  [Ljavax.management.MBeanParameterInfo;
 386:            30            720  com.alibaba.fastjson.serializer.SerializerFeature
 387:            10            720  game.data.bean.Cfg_FashionStarBean
 388:             9            720  game.data.bean.Cfg_PlayerTitle_RuneBean
 389:            10            720  game.data.bean.Cfg_bossHomeBean
 390:            10            720  game.data.bean.Cfg_elves_advancedBean
 391:            18            720  game.data.bean.Cfg_master_targetBean
 392:            10            720  game.data.bean.Cfg_statue_modelBean
 393:            10            720  game.data.bean.Cfg_wing_upBean
 394:            15            720  java.lang.management.PlatformComponent
 395:            22            704  game.data.bean.Cfg_redPacketBean
 396:            22            704  sun.reflect.annotation.AnnotationType
 397:            43            688  com.sun.proxy.$Proxy2
 398:            21            672  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference
 399:            12            672  game.data.bean.Cfg_shop_MysteryBean
 400:            28            672  java.security.Provider$UString
 401:            12            672  java.util.ResourceBundle$CacheKey
 402:            12            672  org.apache.logging.log4j.core.appender.rolling.PatternProcessor
 403:             9            648  [Ljava.lang.reflect.Method;
 404:            27            648  java.lang.RuntimePermission
 405:            10            640  game.data.bean.Cfg_fashionBean
 406:            16            640  game.data.bean.Cfg_guild_fight_personalBean
 407:            10            640  game.data.bean.Cfg_vipLevelBean
 408:            10            640  java.text.DateFormatSymbols
 409:            10            640  java.text.DecimalFormatSymbols
 410:            16            640  java.util.IdentityHashMap
 411:            20            640  java.util.Locale
 412:             8            640  sun.net.www.protocol.jar.URLJarFile
 413:            20            640  sun.util.locale.BaseLocale
 414:             3            624  [Ljava.lang.invoke.LambdaForm;
 415:            13            624  game.data.bean.Cfg_marriageBean
 416:            26            624  java.util.Collections$SingletonList
 417:            39            624  java.util.regex.Pattern$CharPropertyNames$1
 418:            19            608  sun.management.DiagnosticCommandImpl$Wrapper
 419:            12            576  game.data.bean.Cfg_ExclusiveGiftBean
 420:            12            576  game.data.bean.Cfg_clone_storyBean
 421:             9            576  game.data.bean.Cfg_marriage_ringBean
 422:             8            576  game.data.bean.Cfg_special_monsterBean
 423:            18            576  java.security.Permissions
 424:             9            576  java.text.SimpleDateFormat
 425:            12            576  java.util.ResourceBundle$BundleReference
 426:            24            576  java.util.concurrent.LinkedBlockingQueue$Node
 427:            24            568  [Lorg.apache.logging.log4j.core.config.AppenderControl;
 428:             7            560  com.alibaba.fastjson.util.FieldInfo
 429:            14            560  javax.management.openmbean.SimpleType
 430:            10            560  sun.invoke.util.Wrapper
 431:            23            552  [Lorg.apache.logging.log4j.core.config.AppenderRef;
 432:            23            552  org.apache.logging.log4j.core.config.AppenderRef
 433:            23            552  org.apache.logging.log4j.core.jmx.LoggerConfigAdmin
 434:            23            552  org.apache.logging.log4j.core.jmx.RingBufferAdmin
 435:            17            544  java.io.FilePermission
 436:            25            536  [Lsun.reflect.generics.tree.FieldTypeSignature;
 437:             1            528  [Ljava.lang.Character;
 438:            11            528  org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat
 439:            13            520  game.data.bean.Cfg_MasterKeepsakeBean
 440:            13            520  game.data.bean.Cfg_achMedalBean
 441:            13            520  game.data.bean.Cfg_master_levelBean
 442:            13            520  game.data.bean.Cfg_server_scuffle_kingBean
 443:            13            520  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 444:            13            520  org.apache.logging.log4j.core.layout.StringBuilderEncoder
 445:            13            520  org.apache.logging.log4j.core.pattern.MessagePatternConverter
 446:            26            512  [Ljavax.management.MBeanConstructorInfo;
 447:            16            512  java.net.InetAddress$InetAddressHolder
 448:             8            512  java.nio.DirectByteBuffer
 449:            16            512  java.security.BasicPermissionCollection
 450:             7            504  game.data.bean.Cfg_MythicalBean
 451:             7            504  io.netty.channel.DefaultChannelHandlerContext
 452:            21            504  javax.lang.model.type.TypeKind
 453:             9            504  javax.management.openmbean.CompositeType
 454:            19            488  [Lsun.management.DiagnosticCommandArgumentInfo;
 455:            30            480  org.apache.commons.lang.time.FastDateFormat$CharacterLiteral
 456:            12            480  org.apache.logging.log4j.core.appender.rolling.DefaultRolloverStrategy
 457:            12            480  org.apache.logging.log4j.core.appender.rolling.TimeBasedTriggeringPolicy
 458:            15            480  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 459:            21            464  [Ljavax.management.MBeanNotificationInfo;
 460:             9            456  [Lorg.apache.commons.lang.time.FastDateFormat$Rule;
 461:             6            456  [Lsun.invoke.util.Wrapper;
 462:            19            456  com.alibaba.fastjson.parser.Feature
 463:            19            456  java.util.Locale$LocaleKey
 464:             3            456  org.apache.ibatis.session.Configuration
 465:            14            448  com.sun.org.apache.xml.internal.dtm.ref.ExtendedType
 466:            14            448  game.data.bean.Cfg_pet_probability_posBean
 467:            14            448  java.util.regex.Pattern$Curly
 468:             8            448  javax.management.openmbean.OpenMBeanParameterInfoSupport
 469:            14            448  org.apache.logging.log4j.core.util.Log4jThreadFactory
 470:            11            440  game.data.bean.Cfg_ComboSkillBean
 471:            11            440  game.data.bean.Cfg_ziyuanzhengduo_BOSSBean
 472:            11            440  game.data.bean.Cfg_ziyuanzhengduo_rewardBean
 473:             1            432  [[[C
 474:            18            432  java.text.DateFormat$Field
 475:             6            432  java.util.concurrent.ThreadPoolExecutor
 476:            18            432  org.apache.logging.log4j.core.util.datetime.FastDateParser$StrategyAndWidth
 477:             6            416  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 478:             8            416  [Ljava.beans.PropertyDescriptor;
 479:             5            416  [Ljava.lang.Thread;
 480:            13            416  java.lang.invoke.SimpleMethodHandle
 481:            26            416  org.apache.commons.lang.time.FastDateFormat$TwoDigitNumberField
 482:            13            416  org.apache.logging.log4j.core.appender.DefaultErrorHandler
 483:            13            416  org.apache.logging.log4j.core.pattern.ExtendedThrowablePatternConverter
 484:             3            408  com.lmax.disruptor.Sequence
 485:            17            408  java.io.FilePermissionCollection
 486:            17            408  java.util.regex.Pattern$GroupHead
 487:            17            408  java.util.regex.Pattern$GroupTail
